Disciplina;Creditos;Horario;Professor;Vagas;Inscritos;Sobrando
DFD0320 (20262DI) - A Moeda entre a Sociologia Jurídica e a Sociologia Econômica: Teoria Política e Instituições numa Economia Globalizada (Período ideal: 6);4;sex 09:15 12:50;(R) Jean Paul Cabral Veiga da Rocha;24;2;22
DFD0320 (20262NO) - A Moeda entre a Sociologia Jurídica e a Sociologia Econômica: Teoria Política e Instituições numa Economia Globalizada (Período ideal: 6);4;sex 18:20 21:35;(R) Jean Paul Cabral Veiga da Rocha;96;20;76
DFD0322 (20262DI) - Filosofia do Direito II (Parte Especial) (Período ideal: 6);4;qui 07:25 11:00;Lucas Fucci Amato;12;13;-1
DFD0322 (20262TA) - Filosofia do Direito II (Parte Especial) (Período ideal: 6);4;qua 13:50 17:05;(R) Ari Marcelo Solon;120;60;60
DFD0326 (20262DI) - Antropologia Jurídica (Período ideal: 6);4;sex 09:15 12:50;(R) Orlando Villas Bôas Filho;18;31;-13
DFD0416 (20262NO) - História das Ideias Políticas no Brasil (Período ideal: 8);4;qua 18:20 21:35;Lucas Fucci Amato;48;71;-23
DIN0320 (20262DI) - Prática do Direito Internacional Público (Período ideal: 6);2;qui 09:15 11:00 | qui 09:15 11:00;(R) Paulo Borba Casella / (R) Daniel Damasio Borges;12;8;4
DIN0320 (20262TA) - Prática do Direito Internacional Público (Período ideal: 6);2;qui 13:50 15:25;(R) Daniel Damasio Borges;60;16;44
DIN0322 (20262DI) - Organizações Internacionais (Período ideal: 6);2;qui 11:15 12:50 | qui 11:15 12:50;(R) Paulo Borba Casella / (R) Daniel Damasio Borges;9;7;2
DIN0322 (20262TA) - Organizações Internacionais (Período ideal: 6);2;qui 15:30 17:05;(R) Daniel Damasio Borges;60;20;40
DIN0440 (20262TA) - Solução de Disputas - Princípios Gerais (Período ideal: 8);2;sex 16:20 17:55 | sex 14:40 16:15;(R) Geraldo Miniuci Ferreira Junior;60;8;52
DIN0444 (20262DI) - Direito Internacional Penal e Justiça de Transição (Período ideal: 8);2;ter 07:25 09:00;(R) Claudia Perrone Moises;12;10;2
DIN0444 (20262TA) - Direito Internacional Penal e Justiça de Transição (Período ideal: 8);2;ter 14:40 16:15;(R) Claudia Perrone Moises;60;14;46
DIN0540 (20262DI) - Temas Avançados de Direito do Comércio Internacional e Arbitragem (Período ideal: 10);2;ter 09:15 11:00 | ter 09:15 11:00;Adriana Regina Sarra de Deus / (R) José Augusto Fontoura Costa;12;10;2
